state,delta_o3,do3_se,n_smoky
alabama,6.168036540793379,0.855377499605896,32.42857142857143
arkansas,5.5074680381129,1.7077936122330986,29.5
california,2.62592494116057,0.4666278173901801,25.2
colorado,3.0958620869655618,1.0080965706046623,17.666666666666668
connecticut,7.530114222888063,1.5850624242069442,18.4
district of columbia,3.96058691033625,2.123058220225332,30.0
florida,14.921708852674737,0.5125010297287717,26.571428571428573
georgia,8.394070379725413,0.643853992356035,34.36363636363637
idaho,2.8246969056976874,1.3134345461504757,18.5
illinois,3.077782143682389,0.6335156637882573,42.111111111111114
indiana,6.402586608509475,1.4603050061487217,17.8
iowa,3.283443042393354,0.4158930464722037,44.07142857142857
kansas,-0.9269572611440776,1.2420225405971406,46.0
kentucky,4.03911989119097,0.5397091539639758,27.823529411764707
louisiana,10.665846964701222,0.9435815388188465,31.555555555555557
maine,2.45722977865414,1.91084441198549,34.0
maryland,5.353212412436353,3.6012630433076747,11.5
massachusetts,7.4387867604117215,1.0339974576719628,26.375
rhode island,9.441467473122215,3.131711620208615,11.0
michigan,2.707859151784442,0.9364894444155839,19.555555555555557
minnesota,-0.7041228825706584,0.4785995141040938,45.8
mississippi,8.811740792233623,0.8218515652930607,30.5
missouri,4.381615478641194,1.0447475508989015,26.666666666666668
montana,-1.3035954384973885,1.0421519238620696,21.5
nevada,1.871937419137972,0.8917961588037685,14.833333333333334
new hampshire,2.237445716467837,2.541148106038089,13.0
new jersey,4.30348065040259,1.2391849341743608,23.4
new mexico,0.6665321870912665,0.5388803058273527,30.0
new york,7.4138704827253585,0.9932147514156776,24.555555555555557
north carolina,4.840678002978285,0.5736152916373429,30.071428571428573
north dakota,-0.718660945854715,0.7665008905414159,38.0
ohio,4.487444605592271,0.6712301432237828,34.7
oklahoma,1.5967475445049761,0.6832444024849943,38.5
oregon,-2.307054093695364,0.8829536735269498,66.0
pennsylvania,3.0428047621702374,1.4190406756386476,21.0
south carolina,9.327528142653765,1.2439463381432188,23.0
south dakota,-0.2977262750285157,1.0226923324606185,27.333333333333332
tennessee,4.68384975022509,2.4304900946000103,34.0
texas,8.437762949915884,0.4830385520429104,39.96296296296296
utah,1.7515251966871814,0.46796759517952496,28.363636363636363
vermont,1.554207848288739,1.6832133021522477,23.5
virginia,8.115727586591744,0.9121610391909646,19.571428571428573
washington,-1.4450958974156776,0.9305305755491331,40.8
wisconsin,3.243078926509611,0.5635039627903868,35.5
wyoming,-1.2179716558722333,1.3851694294986299,21.0
